COLUMN_TITLE,DESCRIPTION,MANDATORY,FORMAT
Column Title,Description of Column Title,Y,Text (max 200)
Column Description,Description of Column Description,Y,Text (max 200)
Mandatory,Description of Mandatory,Y,Text (max 200)
Validation,Description of Validation,Y,Text (max 200)
Column Format,Description of Column Format,Y,Text (max 200)
Client Supplied,Description of Client Supplied,Y,Text (max 200)
Source database,Description of Source database,Y,Text (max 200)
Source table,Description of Source table,Y,Text (max 200)
Source field,Description of Source field,Y,Text (max 200)
Notes,Description of Notes,Y,Text (max 200)
Unnamed: 10,Description of Unnamed: 10,Y,Text (max 200)
